ID,RA,Dec,mag_r,True_Class,Prediction_Elliptical,Prediction_Spiral,predBin_Elliptical,predBin_Spiral,Train
SPLUS.STRIPE82-0003.20874.griz,1.9011,-0.2319,15.25,Elliptical,0.99974483,0.0011372566,1,0,0
SPLUS.STRIPE82-0003.20995.griz,1.9796,-0.228,15.02,Elliptical,0.9999982,1.937151e-06,1,0,0
SPLUS.STRIPE82-0003.21549.griz,1.9409,-0.264,16.64,Spiral,0.047249556,0.95722944,0,1,0
SPLUS.STRIPE82-0003.22422.griz,2.0286,-0.3076,16.77,Spiral,0.0013852417,0.717436,0,1,0
SPLUS.STRIPE82-0003.22576.griz,0.7561,-0.3172,16.43,Spiral,0.0013935566,0.98572886,0,1,0
SPLUS.STRIPE82-0003.23040.griz,1.6881,-0.3383,16.07,Elliptical,0.99936163,0.0008226931,1,0,0
SPLUS.STRIPE82-0003.23418.griz,1.486,-0.39799999999999996,15.6,Elliptical,0.9999988,3.1590462e-06,1,0,0
SPLUS.STRIPE82-0003.23656.griz,1.8151,-0.3593,16.95,Elliptical,0.999687,9.819865e-05,1,0,0
SPLUS.STRIPE82-0003.23671.griz,1.535,-0.3722,16.5,Spiral,0.000618577,0.556541,0,1,0
SPLUS.STRIPE82-0003.25180.griz,1.7948,-0.4147,15.41,Spiral,0.00043827295,0.88578504,0,1,0
SPLUS.STRIPE82-0003.25650.griz,1.3762,-0.4633,16.3,Spiral,0.000413239,0.9951055,0,1,0
SPLUS.STRIPE82-0003.25991.griz,1.9744,-0.4793,16.34,Spiral,0.008815616,0.9931878,0,1,0
SPLUS.STRIPE82-0003.27575.griz,1.9839,-0.5501,16.05,Spiral,0.00090783834,0.59464145,0,1,0
SPLUS.STRIPE82-0003.28122.griz,1.6489,-0.5711,15.52,Spiral,0.000249058,0.99863565,0,1,0
SPLUS.STRIPE82-0003.29819.griz,1.3141,-0.643,16.2,Spiral,0.0003850758,0.9891666,0,1,0
SPLUS.STRIPE82-0003.29891.griz,1.811,-0.6419,15.73,Elliptical,0.9993567,0.0010414422,1,0,0
SPLUS.STRIPE82-0003.30103.griz,1.7309999999999999,-0.6552,16.42,Elliptical,0.9956976,0.021038204,1,0,0
SPLUS.STRIPE82-0004.01971.griz,0.7441,0.142,16.61,Elliptical,0.4455099,0.13211596,0,0,0
SPLUS.STRIPE82-0004.04590.griz,1.8071,0.2784,16.43,Spiral,0.00023147464,0.99767554,0,1,0
SPLUS.STRIPE82-0004.05942.griz,0.9785,0.3502,16.97,Spiral,0.000415653,0.97615576,0,1,0
SPLUS.STRIPE82-0004.06023.griz,1.2181,0.3518,16.77,Spiral,0.00038668513,0.99758023,0,1,0
SPLUS.STRIPE82-0004.07361.griz,1.2501,0.4237,16.51,Spiral,0.0008442104,0.9809371,0,1,0
SPLUS.STRIPE82-0004.08045.griz,1.2930000000000001,0.4681,15.27,Elliptical,0.99988496,0.00022521615,1,0,0
SPLUS.STRIPE82-0004.08205.griz,1.3274,0.4655,15.26,Spiral,0.00053563714,0.98544,0,1,0
SPLUS.STRIPE82-0004.08605.griz,1.0109,0.4764,16.27,Elliptical,0.6068045,0.47287345,1,0,0
SPLUS.STRIPE82-0004.08849.griz,1.8058,0.48200000000000004,16.73,Spiral,0.0005105734,0.98991615,0,1,0
SPLUS.STRIPE82-0004.09282.griz,1.0003,0.5063,16.12,Spiral,0.00024914742,0.89900553,0,1,0
SPLUS.STRIPE82-0004.10248.griz,1.4072,0.5495,16.64,Spiral,0.00048607588,0.8718425,0,1,0
